Name,SKU,Stock,Retail Price,Discounted Price,image_url,Website Link,image_id,image_filename,image_exists
Banarasi Saree -Dark pink Colour With Pink Border - QS212518,QS212518,0,5995,5480,https://byrappasilk.in/storage/uploads/kD7WiuXfwJDLsBEUcHcnwtj8FR3qM7vPseZ4tqMb.webp,https://byrappasilks.in/shop/banarasi_saree_dark_pink_colour_with_pink_border_qs212518_1747908347,22,000022.webp,True
Banarasi Saree -Green Colour - QS212520,QS212520,0,5995,5480,https://byrappasilk.in/storage/uploads/nvn3HRaOQ62TnBJZbhitrVKd6W0Bs9Dg2juCVJn8.webp,https://byrappasilks.in/shop/banarasi_saree_green_colour_qs212520_1747908892,23,000023.webp,True
Floral Organza Saree With Aplic Work - White Colour - QS212142,QS212142,1,5995,5480,https://byrappasilk.in/storage/uploads/i4ZBT5jBoxnJ6Dr0rp7MEeu9gAOhPDIwzDd0Pbly.webp,https://byrappasilks.in/shop/floral_organza_saree_with_aplic_work_white_colour_qs212142,24,000024.webp,True
Pure Mysore Silk Saree - Black Colour - QS212816,QS212816,0,13995,12785,https://byrappasilk.in/storage/uploads/WxgORwvpJQmvc4CADC73YDh6khXWxY0BebJBPNHM.webp,https://byrappasilks.in/shop/pure_mysore_silk_saree_black_colour_qs212816_1749113695,25,000025.webp,True
Pure Organza Sarees - White With Red Work - QS214147,QS214147,0,14665,13400,https://byrappasilk.in/storage/uploads/lmAesfuJgotFJb9pRyl3tAO6JZhnotjArSwBNazY.webp,https://byrappasilks.in/shop/pure_organza_sarees_white_with_red_work_qs214147_1748528254,26,000026.webp,True
Kalamkari With Kanchi Border Sarees  - QS213046,QS213046,0,3995,3650,https://byrappasilk.in/storage/uploads/xYgK3ALyGn8IvQCWbgg6lzAuSPoI4RoW5GYQUifS.webp,https://byrappasilks.in/shop/kalamkari_with_kanchi_border_sarees_qs213046_1748694002,27,000027.webp,True
Kalamkari With Kanchi Border Sarees - QS213014,QS213014,0,3995,3650,https://byrappasilk.in/storage/uploads/PNzWtz5Mrw8ZnxN9wr173x0quvRfEayxXNBNI00W.webp,https://byrappasilks.in/shop/kalamkari_with_kanchi_border_sarees_qs213014_1748694300,28,000028.webp,True
Organza Saree With Aplic Work - Black Colour - QS213061,QS213061,0,5995,5480,https://byrappasilk.in/storage/uploads/2t7iTUE8Eel0mT8aXxkqoZ4VX8Ac6jdjxKuPw2Ci.webp,https://byrappasilks.in/shop/organza_saree_with_aplic_work_black_colour_qs213061_1766046416,29,000029.webp,True
Banarasi Saree - Cream Colour - QS207032,QS207032,0,5695,5200,https://byrappasilk.in/storage/uploads/8J43KQoStEvfoKihpEFODXw1aNuXs7Vjh9eDBFqq.webp,https://byrappasilks.in/shop/banarasi_saree_cream_colour_qs207032_1749038650,30,000030.webp,True
Fancy Work Saree - QS214036,QS214036,0,9665,8830,https://byrappasilk.in/storage/uploads/OQtMMmRPPku7zbMNgdAygpH7sEcPtf0uTxFl7JvV.webp,https://byrappasilks.in/shop/fancy_work_saree_qs214036_1749102458,31,000031.webp,True
